\begin{table}
\begin{tabular}{ccc}
Flat Exposure Time & Average Bright Counts & Average Faint Counts \\
$\mathrm{s}$ & $\mathrm{adu}$ & $\mathrm{adu}$ \\
0.04 & 5.511046264257337 & -3.1731239266948603 \\
0.1 & 18.931091887735487 & 3.0317967448417273 \\
0.3 & 49.832977829040104 & 2.420100730488273 \\
1.0 & 172.9949378444188 & 16.006710239651415 \\
3.0 & 570.8858049468153 & 60.40829885941304 \\
10.0 & 2454.351035499167 & 198.14677303601178 \\
30.0 & 5744.984574394463 & 699.4061635268488 \\
100.0 & 13387.245811867231 & 2783.8719787261302 \\
\end{tabular}
\end{table}
